antibiotic	num_obs	res_prop	lab_derived_prop	train_prop	val_prop	n_fold	fit_penalty	fit_mixture	f1_score	log2_apop	bal_acc	mcc	date	bug	model	model_scale	model_drug	model_data	model_colors	model_shapes
carbenicillin	89	0.94	1	0.6	0.2	NA	1.00E-04	0	0.94	0.07	0.5	NA	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
cefazolin	2370	0.82	1	0.6	0.2	NA	1.00E-04	0	0.97	0.29	0.88	0.9	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
cefepime	2264	0.63	1	0.6	0.2	NA	0.0215443469	1	0.86	0.53	0.79	0.8	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
cefotaxime	1422	0.71	1	0.6	0.2	NA	1.00E-04	0.2	0.94	0.48	0.89	0.9	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
cefotetan	144	0.27	1	0.6	0.2	NA	1.00E-04	0.2	0.86	1.8	0.88	0.91	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
cefoxitin	2253	0.54	1	0.6	0.2	NA	1.00E-04	0.2	0.85	0.8	0.85	0.85	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
cefpodoxime	294	0.74	1	0.6	0.2	NA	0.01	1	0.83	0.27	0.6	0.62	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
cefpodoxime_clavulanic_acid	188	0.87	1	0.6	0.2	NA	1.00E-04	0	0.93	0.19	0.58	0.69	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
ceftazidime	3281	0.72	1	0.6	0.2	NA	1.00E-04	0	0.96	0.46	0.92	0.93	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
ceftazidime/avibactam	327	0.25	1	0.6	0.2	NA	0.04641588834	1	0.87	1.88	0.88	0.92	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
ceftolozane/tazobactam	147	0.62	1	0.6	0.2	NA	0.1	0.4	0.87	0.6	0.82	0.83	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
ceftriaxone	2340	0.82	1	0.6	0.2	NA	0.01	1	0.97	0.29	0.91	0.93	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
ceftriaxone/cefpodoxime	53	0.51	1	0.6	0.2	NA	0.04641588834	0.8	0.73	0.77	0.75	0.75	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
