antibiotic	num_obs	res_prop	lab_derived_prop	train_prop	val_prop	n_fold	fit_penalty	fit_mixture	f1_score	log2_apop	bal_acc	mcc	date	bug	model	model_scale	model_drug	model_data	model_colors	model_shapes
aminogycosides	127	0.61	1	0.6	0.2	NA	0.04641588834	1	0.85	0.64	0.79	0.79	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
amoxicillin/clavulanic acid	864	0.79	1	0.6	0.2	NA	1.00E-04	0.4	0.96	0.33	0.87	0.9	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
ampicillin/sulbactam	1897	0.87	1	0.6	0.2	NA	0.01	0.2	0.95	0.19	0.78	0.81	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
aztreonam	2289	0.82	1	0.6	0.2	NA	1.00E-04	0	0.92	0.23	0.68	0.75	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
beta-lactam	127	0.66	1	0.6	0.2	NA	1.00E-04	0	0.85	0.56	0.8	0.79	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
carbenicillin	89	0.94	1	0.6	0.2	NA	1.00E-04	0	0.94	0.07	0.5	NA	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
cefazolin	2370	0.82	1	0.6	0.2	NA	0.01	0.6	0.96	0.27	0.84	0.86	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
cefepime	2264	0.63	1	0.6	0.2	NA	1.00E-04	0	0.86	0.55	0.76	0.79	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
cefotaxime	1422	0.71	1	0.6	0.2	NA	1.00E-04	0.4	0.92	0.46	0.88	0.86	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
cefotetan	144	0.27	1	0.6	0.2	NA	1.00E-04	0.2	0.78	1.55	0.87	0.84	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
cefoxitin	2253	0.54	1	0.6	0.2	NA	1.00E-04	0.8	0.82	0.7	0.81	0.81	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
cefpodoxime	294	0.74	1	0.6	0.2	NA	1.00E-04	0	0.88	0.31	0.74	0.75	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
cefpodoxime_clavulanic_acid	188	0.87	1	0.6	0.2	NA	0.04641588834	0.2	0.9	0.19	0.48	0.46	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
ceftazidime	3281	0.72	1	0.6	0.2	NA	0.004641588834	1	0.95	0.44	0.9	0.91	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
ceftazidime/avibactam	327	0.25	1	0.6	0.2	NA	1.00E-04	0	0.83	1.83	0.85	0.9	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
ceftolozane/tazobactam	147	0.62	1	0.6	0.2	NA	1.00E-04	0	0.87	0.62	0.82	0.83	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
ceftriaxone	2340	0.82	1	0.6	0.2	NA	0.01	0.6	0.97	0.29	0.88	0.91	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
ceftriaxone/cefpodoxime	53	0.51	1	0.6	0.2	NA	1.00E-04	0.2	0.67	0.75	0.67	0.67	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
cefuroxime	1668	0.93	1	0.6	0.2	NA	1.00E-04	0.2	0.98	0.1	0.63	0.7	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
cephalothin	168	0.79	1	0.6	0.2	NA	0.04641588834	0.2	0.86	0.22	0.54	0.58	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
chloramphenicol	329	0.69	1	0.6	0.2	NA	1.00E-04	0	0.85	0.42	0.71	0.73	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
ciprofloxacin	3558	0.68	1	0.6	0.2	NA	1.00E-04	0.8	0.94	0.53	0.91	0.91	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
colistin	1266	0.23	1	0.6	0.2	NA	0.00215443469	0.8	0.61	1.45	0.75	0.75	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
doripenem	233	0.89	1	0.6	0.2	NA	0.1	0.6	0.92	0.06	0.5	NA	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
doxycycline	141	0.32	1	0.6	0.2	NA	1.00E-04	1	0.67	1.23	0.75	0.79	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
ertapenem	1382	0.65	1	0.6	0.2	NA	0.0215443469	0.6	0.95	0.61	0.93	0.93	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
extended spectrum beta lactamase	403	0.42	1	0.6	0.2	NA	0.1	0.2	0.85	1.18	0.87	0.87	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
fluoroquinolones	127	0.57	1	0.6	0.2	NA	0.1	0.4	0.65	0.19	0.5	0.5	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
fosfomycin	270	0.26	1	0.6	0.2	NA	1.00E-04	0.2	0.38	1.18	0.61	0.65	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
gentamicin	3662	0.38	1	0.6	0.2	NA	1.00E-04	0.2	0.78	1.11	0.82	0.83	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
imipenem	2199	0.46	1	0.6	0.2	NA	0.0215443469	0.2	0.9	1.05	0.91	0.91	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
kanamycin	82	0.93	1	0.6	0.2	NA	1.00E-04	0	1	0.1	NA	NA	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
levofloxacin	2009	0.79	1	0.6	0.2	NA	0.01	0.6	0.96	0.33	0.88	0.89	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
meropenem	3520	0.33	1	0.6	0.2	NA	1.00E-04	1	0.86	1.49	0.89	0.9	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
minocycline	87	0.22	1	0.6	0.2	NA	1.00E-04	0.2	0.8	2.05	0.86	0.86	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
moxifloxacin	92	0.42	1	0.6	0.2	NA	0.01	0.8	0.53	0.56	0.61	0.62	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
nalidixic acid	157	0.64	1	0.6	0.2	NA	0.0215443469	0.6	0.76	0.51	0.59	0.61	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
nitrofurantoin	1123	0.82	1	0.6	0.2	NA	0.0215443469	0.2	0.89	0.24	0.7	0.73	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
norfloxacin	186	0.15	1	0.6	0.2	NA	1.00E-04	0.2	0.89	2.55	0.9	0.94	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
piperacillin/tazobactam	2505	0.68	1	0.6	0.2	NA	0.0215443469	0.8	0.88	0.48	0.81	0.81	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
polymyxin B	233	0.21	1	0.6	0.2	NA	1.00E-04	0	0.76	2.13	0.82	0.85	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
streptomycin	74	0.69	1	0.6	0.2	NA	0.04641588834	0.4	1	0.54	1	1	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
tetracycline	1705	0.53	1	0.6	0.2	NA	0.004641588834	1	0.79	0.65	0.77	0.77	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
ticarcillin/clavulanic acid	239	0.42	1	0.6	0.2	NA	1.00E-04	0.2	0.93	1.22	0.94	0.94	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
tigecycline	1114	0.23	1	0.6	0.2	NA	0.0215443469	0.2	0.67	1.52	0.77	0.78	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
tobramycin	2179	0.58	1	0.6	0.2	NA	0.04641588834	0.2	0.86	0.67	0.83	0.83	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
trimethoprim	251	0.44	1	0.6	0.2	NA	0.0215443469	0.2	0.84	1.1	0.86	0.86	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
trimethoprim/sulfamethoxazole	3317	0.67	1	0.6	0.2	NA	0.0215443469	0.2	0.89	0.47	0.81	0.82	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
trimethoprim/sulfobactam	225	0.33	1	0.6	0.2	NA	1.00E-04	0.2	0.77	1.48	0.82	0.85	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
trimotheprim	127	0.72	1	0.6	0.2	NA	1.00E-04	0.2	0.81	0.22	0.52	0.53	2025-05-24	Kpn	domain_all_count	domain	drug	all_count	#66a61e	21
aminoglycosides	3860	0.56	1	0.6	0.2	NA	0.01	0.8	0.85	0.7	0.84	0.83	2025-05-23	Kpn	domain_all_count_class	domain	drug_class	all_count	#66a61e	21
amphenicols	342	0.7	1	0.6	0.2	NA	0.1	0.4	0.9	0.44	0.79	0.82	2025-05-23	Kpn	domain_all_count_class	domain	drug_class	all_count	#66a61e	21
carbapenems	3816	0.39	1	0.6	0.2	NA	1.00E-04	0.2	0.88	1.28	0.9	0.9	2025-05-23	Kpn	domain_all_count_class	domain	drug_class	all_count	#66a61e	21
cephalosporins	2914	0.83	1	0.6	0.2	NA	0.04641588834	0.4	0.94	0.25	0.75	0.8	2025-05-23	Kpn	domain_all_count_class	domain	drug_class	all_count	#66a61e	21
fluoroquinolones	3608	0.67	1	0.6	0.2	NA	0.04641588834	0.2	0.93	0.56	0.89	0.89	2025-05-23	Kpn	domain_all_count_class	domain	drug_class	all_count	#66a61e	21
monobactams	2289	0.83	1	0.6	0.2	NA	0.04641588834	0.2	0.93	0.24	0.71	0.78	2025-05-23	Kpn	domain_all_count_class	domain	drug_class	all_count	#66a61e	21
nitrofuran-derivatives	1123	0.82	1	0.6	0.2	NA	0.04641588834	0.2	0.93	0.26	0.7	0.73	2025-05-23	Kpn	domain_all_count_class	domain	drug_class	all_count	#66a61e	21
penicillins/beta-lactamase-inhibitor	2863	0.82	1	0.6	0.2	NA	0.0215443469	0.2	0.95	0.27	0.83	0.86	2025-05-23	Kpn	domain_all_count_class	domain	drug_class	all_count	#66a61e	21
phosphonic acid antibacterial	270	0.26	1	0.6	0.2	NA	1.00E-04	0.2	0.38	1.18	0.61	0.65	2025-05-23	Kpn	domain_all_count_class	domain	drug_class	all_count	#66a61e	21
polymyxin	1422	0.23	1	0.6	0.2	NA	0.004641588834	0.6	0.67	1.72	0.77	0.8	2025-05-23	Kpn	domain_all_count_class	domain	drug_class	all_count	#66a61e	21
quinolones	157	0.64	1	0.6	0.2	NA	0.0215443469	0.6	0.76	0.51	0.59	0.61	2025-05-23	Kpn	domain_all_count_class	domain	drug_class	all_count	#66a61e	21
tetracyclines	2665	0.44	1	0.6	0.2	NA	1.00E-04	0	0.65	0.77	0.71	0.71	2025-05-23	Kpn	domain_all_count_class	domain	drug_class	all_count	#66a61e	21
trimethoprim-derivatives	251	0.44	1	0.6	0.2	NA	0.0215443469	0.2	0.84	1.1	0.86	0.86	2025-05-23	Kpn	domain_all_count_class	domain	drug_class	all_count	#66a61e	21
trimethoprim/sulfonamides	3317	0.67	1	0.6	0.2	NA	0.01	1	0.88	0.46	0.78	0.8	2025-05-23	Kpn	domain_all_count_class	domain	drug_class	all_count	#66a61e	21
amikacin	2664	0.16	1	0.6	0.2	NA	0.0215443469	0.2	0.77	2.44	0.84	0.87	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
aminogycosides	127	0.61	1	0.6	0.2	NA	0.1	0.4	0.97	0.71	0.97	0.96	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
amoxicillin/clavulanic acid	864	0.79	1	0.6	0.2	NA	1.00E-04	0.2	0.96	0.33	0.87	0.9	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
ampicillin/sulbactam	1897	0.87	1	0.6	0.2	NA	0.00215443469	1	0.96	0.2	0.82	0.85	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
aztreonam	2289	0.82	1	0.6	0.2	NA	0.0215443469	0.8	0.94	0.26	0.79	0.83	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
beta-lactam	127	0.66	1	0.6	0.2	NA	1.00E-04	0.6	0.9	0.58	0.91	0.89	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
carbenicillin	89	0.94	1	0.6	0.2	NA	1.00E-04	1	0.94	0	0.5	NA	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
cefazolin	2370	0.82	1	0.6	0.2	NA	0.0215443469	0.6	0.98	0.29	0.94	0.94	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
cefepime	2264	0.63	1	0.6	0.2	NA	0.1	0.2	0.89	0.56	0.82	0.83	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
cefotaxime	1422	0.71	1	0.6	0.2	NA	0.0215443469	0.6	0.97	0.49	0.95	0.95	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
cefotetan	144	0.27	1	0.6	0.2	NA	1.00E-04	0.2	0.82	1.74	0.89	0.88	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
cefoxitin	2253	0.54	1	0.6	0.2	NA	0.0215443469	0.8	0.86	0.78	0.86	0.86	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
cefpodoxime	294	0.74	1	0.6	0.2	NA	0.04641588834	1	0.9	0.41	0.82	0.81	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
cefpodoxime_clavulanic_acid	188	0.87	1	0.6	0.2	NA	1.00E-04	0	0.91	0.19	0.57	0.61	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
ceftazidime	3281	0.72	1	0.6	0.2	NA	0.0215443469	0.6	0.97	0.46	0.93	0.94	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
ceftazidime/avibactam	327	0.25	1	0.6	0.2	NA	0.1	0.8	0.87	1.91	0.88	0.92	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
ceftolozane/tazobactam	147	0.62	1	0.6	0.2	NA	0.01	0.6	0.92	0.66	0.91	0.9	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
ceftriaxone	2340	0.82	1	0.6	0.2	NA	0.01	0.4	0.98	0.29	0.95	0.95	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
ceftriaxone/cefpodoxime	53	0.51	1	0.6	0.2	NA	0.1	0.2	1	0.97	1	1	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
cefuroxime	1668	0.93	1	0.6	0.2	NA	0.04641588834	0.8	0.98	0.09	0.77	0.83	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
cephalothin	168	0.79	1	0.6	0.2	NA	0.0215443469	1	0.91	0.31	0.77	0.79	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
chloramphenicol	329	0.69	1	0.6	0.2	NA	0.1	0.6	0.87	0.43	0.77	0.78	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
ciprofloxacin	3558	0.68	1	0.6	0.2	NA	0.04641588834	0.2	0.95	0.54	0.93	0.93	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
colistin	1266	0.23	1	0.6	0.2	NA	1.00E-04	0.4	0.62	1.67	0.76	0.76	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
doripenem	233	0.89	1	0.6	0.2	NA	1.00E-04	0	0.92	0.08	0.5	NA	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
doxycycline	141	0.32	1	0.6	0.2	NA	0.1	0.4	0.62	1.21	0.72	0.8	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
ertapenem	1382	0.65	1	0.6	0.2	NA	0.0215443469	1	0.97	0.62	0.98	0.97	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
extended spectrum beta lactamase	403	0.42	1	0.6	0.2	NA	0.1	0.4	0.94	1.22	0.95	0.95	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
fluoroquinolones	127	0.57	1	0.6	0.2	NA	0.1	0.6	0.76	0.23	0.66	0.68	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
fosfomycin	270	0.26	1	0.6	0.2	NA	0.004641588834	1	0.7	1.69	0.77	0.84	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
gentamicin	3662	0.38	1	0.6	0.2	NA	0.0215443469	0.2	0.92	1.34	0.93	0.94	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
imipenem	2199	0.46	1	0.6	0.2	NA	0.0215443469	0.4	0.94	1.06	0.94	0.95	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
kanamycin	82	0.93	1	0.6	0.2	NA	1.00E-04	0	1	0.1	NA	NA	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
levofloxacin	2009	0.79	1	0.6	0.2	NA	1.00E-04	0	0.96	0.33	0.91	0.91	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
meropenem	3520	0.33	1	0.6	0.2	NA	0.01	1	0.93	1.56	0.94	0.95	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
minocycline	87	0.22	1	0.6	0.2	NA	1.00E-04	0	0.8	2.06	0.86	0.86	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
moxifloxacin	92	0.42	1	0.6	0.2	NA	1.00E-04	0.4	0.36	0.51	0.58	0.61	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
nalidixic acid	157	0.64	1	0.6	0.2	NA	0.01	0.6	0.76	0.48	0.59	0.61	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
nitrofurantoin	1123	0.82	1	0.6	0.2	NA	0.1	0.2	0.9	0.24	0.7	0.74	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
norfloxacin	186	0.15	1	0.6	0.2	NA	1.00E-04	0.2	0.89	2.65	0.9	0.94	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
piperacillin/tazobactam	2505	0.68	1	0.6	0.2	NA	0.0215443469	0.2	0.91	0.51	0.87	0.87	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
polymyxin B	233	0.21	1	0.6	0.2	NA	1.00E-04	0	0.86	2.21	0.88	0.92	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
streptomycin	74	0.69	1	0.6	0.2	NA	1.00E-04	0.2	1	0.54	1	1	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
tetracycline	1705	0.53	1	0.6	0.2	NA	0.04641588834	0.4	0.83	0.81	0.83	0.83	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
ticarcillin/clavulanic acid	239	0.42	1	0.6	0.2	NA	1.00E-04	0.2	0.93	1.24	0.94	0.94	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
tigecycline	1114	0.23	1	0.6	0.2	NA	0.04641588834	0.2	0.64	1.67	0.74	0.78	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
tobramycin	2179	0.58	1	0.6	0.2	NA	0.01	0.4	0.93	0.73	0.92	0.92	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
trimethoprim	251	0.44	1	0.6	0.2	NA	0.0215443469	0.8	0.86	1.14	0.87	0.88	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
trimethoprim/sulfamethoxazole	3317	0.67	1	0.6	0.2	NA	0.1	0.2	0.95	0.56	0.92	0.92	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
trimethoprim/sulfobactam	225	0.33	1	0.6	0.2	NA	0.1	1	0.8	1.57	0.83	0.88	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
trimotheprim	127	0.72	1	0.6	0.2	NA	1.00E-04	0.2	0.88	0.26	0.64	0.74	2025-05-23	Kpn	gene_all_count	gene	drug	all_count	#e6ab02	21
aminoglycosides	3860	0.56	1	0.6	0.2	NA	0.0215443469	0.8	0.9	0.79	0.9	0.89	2025-05-23	Kpn	gene_all_count_class	gene	drug_class	all_count	#e6ab02	21
amphenicols	342	0.7	1	0.6	0.2	NA	0.0215443469	0.2	0.92	0.49	0.85	0.86	2025-05-23	Kpn	gene_all_count_class	gene	drug_class	all_count	#e6ab02	21
carbapenems	3816	0.39	1	0.6	0.2	NA	0.0215443469	0.4	0.94	1.33	0.95	0.95	2025-05-23	Kpn	gene_all_count_class	gene	drug_class	all_count	#e6ab02	21
cephalosporins	2914	0.83	1	0.6	0.2	NA	0.01	0.6	0.97	0.27	0.91	0.92	2025-05-23	Kpn	gene_all_count_class	gene	drug_class	all_count	#e6ab02	21
fluoroquinolones	3608	0.67	1	0.6	0.2	NA	0.0215443469	0.4	0.95	0.56	0.92	0.93	2025-05-23	Kpn	gene_all_count_class	gene	drug_class	all_count	#e6ab02	21
monobactams	2289	0.83	1	0.6	0.2	NA	0.04641588834	0.4	0.96	0.24	0.81	0.87	2025-05-23	Kpn	gene_all_count_class	gene	drug_class	all_count	#e6ab02	21
nitrofuran-derivatives	1123	0.82	1	0.6	0.2	NA	1.00E-04	0	0.94	0.26	0.71	0.75	2025-05-23	Kpn	gene_all_count_class	gene	drug_class	all_count	#e6ab02	21
penicillins/beta-lactamase-inhibitor	2863	0.82	1	0.6	0.2	NA	0.0215443469	0.6	0.96	0.27	0.82	0.87	2025-05-23	Kpn	gene_all_count_class	gene	drug_class	all_count	#e6ab02	21
phosphonic acid antibacterial	270	0.26	1	0.6	0.2	NA	0.004641588834	1	0.7	1.69	0.77	0.84	2025-05-23	Kpn	gene_all_count_class	gene	drug_class	all_count	#e6ab02	21
polymyxin	1422	0.23	1	0.6	0.2	NA	0.0215443469	0.2	0.57	1.65	0.71	0.74	2025-05-23	Kpn	gene_all_count_class	gene	drug_class	all_count	#e6ab02	21
quinolones	157	0.64	1	0.6	0.2	NA	0.01	0.6	0.76	0.48	0.59	0.61	2025-05-23	Kpn	gene_all_count_class	gene	drug_class	all_count	#e6ab02	21
tetracyclines	2665	0.44	1	0.6	0.2	NA	1.00E-04	0.2	0.77	0.97	0.8	0.8	2025-05-23	Kpn	gene_all_count_class	gene	drug_class	all_count	#e6ab02	21
trimethoprim-derivatives	251	0.44	1	0.6	0.2	NA	0.0215443469	0.8	0.86	1.14	0.87	0.88	2025-05-23	Kpn	gene_all_count_class	gene	drug_class	all_count	#e6ab02	21
trimethoprim/sulfonamides	3317	0.67	1	0.6	0.2	NA	0.1	0.2	0.94	0.55	0.9	0.91	2025-05-23	Kpn	gene_all_count_class	gene	drug_class	all_count	#e6ab02	21
amikacin	694	0.18	1	0.6	0.2	NA	0.0215443469	0.2	0.62	2	0.74	0.78	2025-05-22	Pae	domain_all_count	domain	drug	all_count	#66a61e	21
aztreonam	217	0.49	1	0.6	0.2	NA	0.1	0.4	0.62	0.65	0.62	0.62	2025-05-22	Pae	domain_all_count	domain	drug	all_count	#66a61e	21
cefepime	254	0.47	1	0.6	0.2	NA	0.04641588834	1	0.6	0.35	0.68	0.69	2025-05-22	Pae	domain_all_count	domain	drug	all_count	#66a61e	21
ceftazidime	829	0.46	1	0.6	0.2	NA	0.01	0.6	0.72	0.74	0.74	0.74	2025-05-22	Pae	domain_all_count	domain	drug	all_count	#66a61e	21
ceftazidime/avibactam	282	0.46	1	0.6	0.2	NA	0.1	0.4	0.68	0.92	0.74	0.76	2025-05-22	Pae	domain_all_count	domain	drug	all_count	#66a61e	21
ceftolozane/tazobactam	235	0.53	1	0.6	0.2	NA	0.04641588834	0.4	0.82	0.8	0.81	0.81	2025-05-22	Pae	domain_all_count	domain	drug	all_count	#66a61e	21
ciprofloxacin	677	0.54	1	0.6	0.2	NA	0.1	0.6	0.77	0.72	0.77	0.76	2025-05-22	Pae	domain_all_count	domain	drug	all_count	#66a61e	21
doripenem	68	0.71	1	0.6	0.2	NA	1.00E-04	0	0.87	0.45	0.62	0.72	2025-05-22	Pae	domain_all_count	domain	drug	all_count	#66a61e	21
gentamicin	365	0.27	1	0.6	0.2	NA	0.0215443469	1	0.8	1.74	0.86	0.86	2025-05-22	Pae	domain_all_count	domain	drug	all_count	#66a61e	21
imipenem	449	0.51	1	0.6	0.2	NA	0.1	0.6	0.82	0.77	0.83	0.83	2025-05-22	Pae	domain_all_count	domain	drug	all_count	#66a61e	21
levofloxacin	684	0.47	1	0.6	0.2	NA	1.00E-04	0	0.68	0.82	0.72	0.72	2025-05-22	Pae	domain_all_count	domain	drug	all_count	#66a61e	21
meropenem	835	0.55	1	0.6	0.2	NA	0.0215443469	0.8	0.69	0.41	0.63	0.63	2025-05-22	Pae	domain_all_count	domain	drug	all_count	#66a61e	21
piperacillin	143	0.17	1	0.6	0.2	NA	1.00E-04	0.2	0	-1.28	0.48	0.47	2025-05-22	Pae	domain_all_count	domain	drug	all_count	#66a61e	21
piperacillin/tazobactam	214	0.39	1	0.6	0.2	NA	0.04641588834	1	0.64	0.88	0.73	0.75	2025-05-22	Pae	domain_all_count	domain	drug	all_count	#66a61e	21
tobramycin	606	0.29	1	0.6	0.2	NA	1.00E-04	0	0.75	1.6	0.8	0.85	2025-05-22	Pae	domain_all_count	domain	drug	all_count	#66a61e	21
aminoglycosides	1059	0.33	1	0.6	0.2	NA	1.00E-04	0.8	0.82	1.42	0.87	0.87	2025-05-21	Pae	domain_all_count_class	domain	drug_class	all_count	#66a61e	21
carbapenems	1068	0.54	1	0.6	0.2	NA	0.04641588834	0.2	0.72	0.57	0.7	0.7	2025-05-21	Pae	domain_all_count_class	domain	drug_class	all_count	#66a61e	21
cephalosporins	261	0.49	1	0.6	0.2	NA	0.0215443469	0.2	0.69	0.61	0.72	0.72	2025-05-21	Pae	domain_all_count_class	domain	drug_class	all_count	#66a61e	21
fluoroquinolones	1011	0.52	1	0.6	0.2	NA	1.00E-04	0	0.74	0.74	0.75	0.75	2025-05-21	Pae	domain_all_count_class	domain	drug_class	all_count	#66a61e	21
monobactams	217	0.49	1	0.6	0.2	NA	0.1	0.4	0.62	0.65	0.62	0.62	2025-05-21	Pae	domain_all_count_class	domain	drug_class	all_count	#66a61e	21
penicillins	244	0.52	1	0.6	0.2	NA	1.00E-04	0	0.92	0.88	0.92	0.92	2025-05-21	Pae	domain_all_count_class	domain	drug_class	all_count	#66a61e	21
penicillins/beta-lactamase-inhibitor	218	0.41	1	0.6	0.2	NA	0.0215443469	0.2	0.48	0.81	0.62	0.63	2025-05-21	Pae	domain_all_count_class	domain	drug_class	all_count	#66a61e	21
